iso,GCAM_region_ID,year,scenario,temp_change,gdp
mrt,5,2020,SSP1,4C,7449.172286
mus,2,2020,SSP1,1C,9015.211067
mus,2,2020,SSP1,2C,9015.211067
mus,2,2020,SSP1,3C,9015.211067
mus,2,2020,SSP1,4C,9015.211067
mwi,4,2020,SSP1,1C,9717.378415
mwi,4,2020,SSP1,2C,9717.378415
mwi,4,2020,SSP1,3C,9717.378415
mwi,4,2020,SSP1,4C,9717.378415
mys,29,2020,SSP1,1C,254918.8243
mys,29,2020,SSP1,2C,254918.8243
mys,29,2020,SSP1,3C,254918.8243
mys,29,2020,SSP1,4C,254918.8243
nam,4,2020,SSP1,1C,9350.869884
nam,4,2020,SSP1,2C,9350.869884
nam,4,2020,SSP1,3C,9350.869884
nam,4,2020,SSP1,4C,9350.869884
ncl,29,2020,SSP1,1C,2766.454005
ncl,29,2020,SSP1,2C,2766.454005
ncl,29,2020,SSP1,3C,2766.454005
ncl,29,2020,SSP1,4C,2766.454005
ner,5,2020,SSP1,1C,11075.10515
ner,5,2020,SSP1,2C,11439.199
ner,5,2020,SSP1,3C,11889.00638
ner,5,2020,SSP1,4C,12414.9856
nga,5,2020,SSP1,1C,378959.4546
nga,5,2020,SSP1,2C,397670.3238
nga,5,2020,SSP1,3C,419546.1978
nga,5,2020,SSP1,4C,443209.4111
nic,9,2020,SSP1,1C,9874.884763
nic,9,2020,SSP1,2C,9874.884763
nic,9,2020,SSP1,3C,9874.884763
nic,9,2020,SSP1,4C,9874.884763
nld,13,2020,SSP1,1C,599775.5024
nld,13,2020,SSP1,2C,599775.5024
nld,13,2020,SSP1,3C,599775.5024
nld,13,2020,SSP1,4C,599775.5024
nor,16,2020,SSP1,1C,361630.4228
nor,16,2020,SSP1,2C,361630.4228
nor,16,2020,SSP1,3C,361630.4228
nor,16,2020,SSP1,4C,361630.4228
npl,27,2020,SSP1,1C,17335.73357
npl,27,2020,SSP1,2C,17335.73357
npl,27,2020,SSP1,3C,17335.73357
npl,27,2020,SSP1,4C,17335.73357
nzl,6,2020,SSP1,1C,133823.9539
nzl,6,2020,SSP1,2C,133823.9539
nzl,6,2020,SSP1,3C,133823.9539
nzl,6,2020,SSP1,4C,133823.9539
omn,21,2020,SSP1,1C,52376.23787
omn,21,2020,SSP1,2C,52376.23787
omn,21,2020,SSP1,3C,52376.23787
omn,21,2020,SSP1,4C,52376.23787
pak,22,2020,SSP1,1C,173832.8654
pak,22,2020,SSP1,2C,177403.313
pak,22,2020,SSP1,3C,181567.4137
pak,22,2020,SSP1,4C,186519.64
pan,9,2020,SSP1,1C,40429.70605
pan,9,2020,SSP1,2C,40429.70605
pan,9,2020,SSP1,3C,40429.70605
pan,9,2020,SSP1,4C,40429.70605
per,26,2020,SSP1,1C,201374.4567
per,26,2020,SSP1,2C,201374.4567
per,26,2020,SSP1,3C,201374.4567
per,26,2020,SSP1,4C,201374.4567
phl,29,2020,SSP1,1C,232698.8221
phl,29,2020,SSP1,2C,244035.0474
phl,29,2020,SSP1,3C,256580.4403
phl,29,2020,SSP1,4C,270410.9927
png,29,2020,SSP1,1C,13051.05356
png,29,2020,SSP1,2C,13533.28429
png,29,2020,SSP1,3C,14077.28917
png,29,2020,SSP1,4C,14701.92955
pol,12,2020,SSP1,1C,450465.8829
pol,12,2020,SSP1,2C,450465.8829
pol,12,2020,SSP1,3C,450465.8829
pol,12,2020,SSP1,4C,450465.8829
pri,1,2020,SSP1,1C,59312.03726
pri,1,2020,SSP1,2C,59312.03726
pri,1,2020,SSP1,3C,59312.03726
pri,1,2020,SSP1,4C,59312.03726
prt,13,2020,SSP1,1C,210805.2303
prt,13,2020,SSP1,2C,210805.2303
prt,13,2020,SSP1,3C,210805.2303
prt,13,2020,SSP1,4C,210805.2303
pry,26,2020,SSP1,1C,21693.47681
pry,26,2020,SSP1,2C,21693.47681
pry,26,2020,SSP1,3C,21693.47681
pry,26,2020,SSP1,4C,21693.47681
pse,21,2020,SSP1,1C,10796.86062
pse,21,2020,SSP1,2C,10796.86062
pse,21,2020,SSP1,3C,10796.86062
pse,21,2020,SSP1,4C,10796.86062
pyf,29,2020,SSP1,1C,2307.876039
pyf,29,2020,SSP1,2C,2307.876039
pyf,29,2020,SSP1,3C,2307.876039
pyf,29,2020,SSP1,4C,2307.876039
qat,21,2020,SSP1,1C,133997.2735
qat,21,2020,SSP1,2C,133997.2735
qat,21,2020,SSP1,3C,133997.2735
qat,21,2020,SSP1,4C,133997.2735
rom,12,2020,SSP1,1C,149749.5971
rom,12,2020,SSP1,2C,149749.5971
rom,12,2020,SSP1,3C,149749.5971
rom,12,2020,SSP1,4C,149749.5971
rus,23,2020,SSP1,1C,1310139.74
rus,23,2020,SSP1,2C,1302362.099
rus,23,2020,SSP1,3C,1292834.89
rus,23,2020,SSP1,4C,1281577.919
rwa,2,2020,SSP1,1C,8257.163885
rwa,2,2020,SSP1,2C,8257.163885
rwa,2,2020,SSP1,3C,8257.163885
rwa,2,2020,SSP1,4C,8257.163885
sau,21,2020,SSP1,1C,464841.8468
sau,21,2020,SSP1,2C,464841.8468
sau,21,2020,SSP1,3C,464841.8468
sau,21,2020,SSP1,4C,464841.8468
sdn,2,2020,SSP1,1C,54513.18747
sdn,2,2020,SSP1,2C,55921.50175
sdn,2,2020,SSP1,3C,57709.38824
sdn,2,2020,SSP1,4C,59718.29145
sen,5,2020,SSP1,1C,19333.76006
sen,5,2020,SSP1,2C,19333.76006
sen,5,2020,SSP1,3C,19333.76006
sen,5,2020,SSP1,4C,19333.76006
sgp,29,2020,SSP1,1C,164054.4476
sgp,29,2020,SSP1,2C,164054.4476
sgp,29,2020,SSP1,3C,164054.4476
sgp,29,2020,SSP1,4C,164054.4476
slb,29,2020,SSP1,1C,920.5813513
slb,29,2020,SSP1,2C,920.5813513
slb,29,2020,SSP1,3C,920.5813513
slb,29,2020,SSP1,4C,920.5813513
sle,5,2020,SSP1,1C,5249.990569
sle,5,2020,SSP1,2C,5249.990569
sle,5,2020,SSP1,3C,5249.990569
sle,5,2020,SSP1,4C,5249.990569
slv,9,2020,SSP1,1C,21565.42508
slv,9,2020,SSP1,2C,21565.42508
slv,9,2020,SSP1,3C,21565.42508
slv,9,2020,SSP1,4C,21565.42508
som,2,2020,SSP1,1C,209.2361071
som,2,2020,SSP1,2C,214.6415917
som,2,2020,SSP1,3C,221.5039754
som,2,2020,SSP1,4C,229.2146801
srb,15,2020,SSP1,1C,50295.36122
srb,15,2020,SSP1,2C,50295.36122
srb,15,2020,SSP1,3C,50295.36122
srb,15,2020,SSP1,4C,50295.36122
stp,5,2020,SSP1,1C,562.0511076
stp,5,2020,SSP1,2C,562.0511076
stp,5,2020,SSP1,3C,562.0511076
stp,5,2020,SSP1,4C,562.0511076
sur,25,2020,SSP1,1C,3032.94133
sur,25,2020,SSP1,2C,3032.94133
sur,25,2020,SSP1,3C,3032.94133
sur,25,2020,SSP1,4C,3032.94133
svk,12,2020,SSP1,1C,75295.27555
svk,12,2020,SSP1,2C,75295.27555
svk,12,2020,SSP1,3C,75295.27555
svk,12,2020,SSP1,4C,75295.27555
svn,12,2020,SSP1,1C,30800.43878
svn,12,2020,SSP1,2C,30800.43878
svn,12,2020,SSP1,3C,30800.43878
svn,12,2020,SSP1,4C,30800.43878
swe,13,2020,SSP1,1C,343681.0558
swe,13,2020,SSP1,2C,343681.0558
swe,13,2020,SSP1,3C,343681.0558
swe,13,2020,SSP1,4C,343681.0558
swz,4,2020,SSP1,1C,2777.527708
swz,4,2020,SSP1,2C,2777.527708
swz,4,2020,SSP1,3C,2777.527708
swz,4,2020,SSP1,4C,2777.527708
syr,21,2020,SSP1,1C,84911.03245
syr,21,2020,SSP1,2C,85795.26798
syr,21,2020,SSP1,3C,86996.98617
syr,21,2020,SSP1,4C,88410.92088
tcd,5,2020,SSP1,1C,12936.57069
tcd,5,2020,SSP1,2C,13361.86018
tcd,5,2020,SSP1,3C,13887.26963
tcd,5,2020,SSP1,4C,14501.65363
tgo,5,2020,SSP1,1C,5163.345773
tgo,5,2020,SSP1,2C,5163.345773
tgo,5,2020,SSP1,3C,5163.345773
tgo,5,2020,SSP1,4C,5163.345773
tha,29,2020,SSP1,1C,357510.5509
tha,29,2020,SSP1,2C,357510.5509
tha,29,2020,SSP1,3C,357510.5509
tha,29,2020,SSP1,4C,357510.5509
tjk,10,2020,SSP1,1C,10032.7234
tjk,10,2020,SSP1,2C,10032.7234
tjk,10,2020,SSP1,3C,10032.7234
tjk,10,2020,SSP1,4C,10032.7234
tkm,10,2020,SSP1,1C,36569.59096
tkm,10,2020,SSP1,2C,36569.59096
tkm,10,2020,SSP1,3C,36569.59096
tkm,10,2020,SSP1,4C,36569.59096
tls,29,2020,SSP1,1C,1440.816859
tls,29,2020,SSP1,2C,1440.816859
tls,29,2020,SSP1,3C,1440.816859
tls,29,2020,SSP1,4C,1440.816859
ton,29,2020,SSP1,1C,213.2323316
ton,29,2020,SSP1,2C,213.2323316
ton,29,2020,SSP1,3C,213.2323316
ton,29,2020,SSP1,4C,213.2323316
tto,9,2020,SSP1,1C,18151.32721
tto,9,2020,SSP1,2C,18151.32721
tto,9,2020,SSP1,3C,18151.32721
tto,9,2020,SSP1,4C,18151.32721
tun,3,2020,SSP1,1C,45402.13966
tun,3,2020,SSP1,2C,45402.13966
tun,3,2020,SSP1,3C,45402.13966
tun,3,2020,SSP1,4C,45402.13966
tur,15,2020,SSP1,1C,828339.5712
tur,15,2020,SSP1,2C,832467.1528
tur,15,2020,SSP1,3C,838229.2566
tur,15,2020,SSP1,4C,845980.8547
tza,4,2020,SSP1,1C,49296.79803
tza,4,2020,SSP1,2C,50551.23372
tza,4,2020,SSP1,3C,51938.68619
tza,4,2020,SSP1,4C,53801.40667
uga,2,2020,SSP1,1C,27509.68957
