scenario,region,sector,year,value,value_ref,prices_bysector_change
3CgSSP2,Africa_Western,water_td_irr_CongoR_W,2100,0.00222281,0.00213368,4.177289940384676
3CgSSP2,Africa_Western,trn_aviation_intl,2100,0.112811,0.108256,4.207618977239127
3CgSSP2,Africa_Western,trn_pass,2100,0.400239,0.373603,7.129493071522443
3CgSSP2,Africa_Western,trn_pass_road_LDV,2100,0.381935,0.354143,7.847677350674739
3CgSSP2,Africa_Western,trn_pass_road,2100,0.380428,0.351377,8.26775799212811
3CgSSP2,Africa_Western,Exports_fertilizer,2100,0,0,NA
3CgSSP2,Africa_Western,water_td_an_C,2100,0,0,NA
3CgSSP2,Africa_Western,water_td_elec_C,2100,0,0,NA
3CgSSP2,Africa_Western,water_td_ind_C,2100,0,0,NA
3CgSSP2,Africa_Western,water_td_irr_AfrCstNW_C,2100,0,0,NA
3CgSSP2,Africa_Western,water_td_irr_AfrCstW_C,2100,0,0,NA
3CgSSP2,Africa_Western,water_td_irr_AfrIntN_C,2100,0,0,NA
3CgSSP2,Africa_Western,water_td_irr_CongoR_C,2100,0,0,NA
3CgSSP2,Africa_Western,water_td_irr_GuineaGulf_C,2100,0,0,NA
3CgSSP2,Africa_Western,water_td_irr_LChad_C,2100,0,0,NA
3CgSSP2,Africa_Western,water_td_irr_NigerR_C,2100,0,0,NA
3CgSSP2,Africa_Western,water_td_irr_NileR_C,2100,0,0,NA
3CgSSP2,Africa_Western,water_td_irr_SenegalR_C,2100,0,0,NA
3CgSSP2,Africa_Western,water_td_irr_VoltaR_C,2100,0,0,NA
3CgSSP2,Africa_Western,water_td_irr_ZambeziR_C,2100,0,0,NA
3CgSSP2,Africa_Western,water_td_muni_C,2100,0,0,NA
3CgSSP2,Africa_Western,water_td_pri_C,2100,0,0,NA
3CgSSP2,Africa_Western,industrial processes,2100,0,0,NA
3CgSSP2,Africa_Western,urban processes,2100,0,0,NA
